"Name","Path","Position","Is Active","Url Key","Description","Image","Page Title","Meta Keywords","Meta Description","Include In Menu","Display Mode","CMS Block","Is Anchor","Availabe Sort By","Default Sort By","Page Layout","Custom Layout Update"
"Gear Bags","Home/Accessories/CATEGORY","4","Yes","gear-bags","","","","","","Yes","Products only","","No","","","No layout updates",""
"Motul","Home/Accessories/BRANDS","3","Yes","motul","","","","","","Yes","Products only","","No","","","No layout updates",""
"Nelson Rigg","Home/Accessories/BRANDS","2","Yes","nelson-rigg","","","","","","Yes","Products only","","No","","","No layout updates",""
"Scorpion Alarms","Home/Accessories/BRANDS","1","Yes","scorpion-alarms","","","","","","Yes","Products only","","No","","","No layout updates",""
"HEL","Home/Aftermarket/BRANDS","1","Yes","hel","","","","","","Yes","Products only","","No","","","No layout updates",""
"Touring Tires","Home/Tires/CATEGORY","3","Yes","touring-tires","","","","","","Yes","Products only","","No","","","No layout updates",""
"Tire Accessories","Home/Tires/CATEGORY","2","Yes","tire-accessories","","","","","","Yes","Products only","","No","","","No layout updates",""
"Tire Warmers","Home/Tires/CATEGORY","1","Yes","tire-warmers","","","","","","Yes","Products only","","No","","","No layout updates",""
"CEAT","Home/Tires/BRANDS","8","Yes","ceat","","","","","","Yes","Products only","","No","","","No layout updates",""
"Dunlop","Home/Tires/BRANDS","7","Yes","dunlop","","","","","","Yes","Products only","","No","","","No layout updates",""
"TVS","Home/Tires/BRANDS","6","Yes","tvs","","","","","","Yes","Products only","","No","","","No layout updates",""
"Metzeler","Home/Tires/BRANDS","5","Yes","metzeler","","","","","","Yes","Products only","","No","","","No layout updates",""
"Bridgestone","Home/Tires/BRANDS","4","Yes","bridgestone","","","","","","Yes","Products only","","No","","","No layout updates",""
"MRF","Home/Tires/BRANDS","3","Yes","mrf","","","","","","Yes","Products only","","No","","","No layout updates",""
"Pirelli","Home/Tires/BRANDS","2","Yes","pirelli","","","","","","Yes","Products only","","No","","","No layout updates",""
"Michelin","Home/Tires/BRANDS","1","Yes","michelin","","","","","","Yes","Products only","","No","","","No layout updates",""
"Spiegler","Home/Aftermarket/BRANDS","2","Yes","spiegler","","","","","","Yes","Products only","","No","","","No layout updates",""
"R & G Racing","Home/Aftermarket/BRANDS","3","Yes","r-g-racing","","","","","","Yes","Products only","","No","","","No layout updates",""
"Covers","Home/Accessories/CATEGORY","2","Yes","covers","","","","","","Yes","Products only","","No","","","No layout updates",""
"Yuasa Batteries","Home/Aftermarket/BRANDS","8","Yes","yuasa-batteries","","","","","","Yes","Products only","","No","","","No layout updates",""
"Supermoto Tires","Home/Tires/CATEGORY","9","Yes","supermoto-tires","","","","","","Yes","Products only","","No","","","No layout updates",""
"Sportbike Tires","Home/Tires/CATEGORY","8","Yes","sportbike-tires","","","","","","Yes","Products only","","No","","","No layout updates",""
"Racing Tires","Home/Tires/CATEGORY","7","Yes","racing-tires","","","","","","Yes","Products only","","No","","","No layout updates",""
"Harley Tires","Home/Tires/CATEGORY","6","Yes","harley-tires","","","","","","Yes","Products only","","No","","","No layout updates",""
"Dual Sport Tires","Home/Tires/CATEGORY","5","Yes","dual-sport-tires","","","","","","Yes","Products only","","No","","","No layout updates",""
"Cruiser Tires","Home/Tires/CATEGORY","4","Yes","cruiser-tires","","","","","","Yes","Products only","","No","","","No layout updates",""
"Shorai Batteries","Home/Aftermarket/BRANDS","7","Yes","shorai-batteries","","","","","","Yes","Products only","","No","","","No layout updates",""
